id,name,phase,durationSeconds,startTimeSeconds
2101,Codeforces Round (Div. 1),BEFORE,9000,1746974100
2102,Codeforces Round (Div. 2),BEFORE,9000,1746974100
2099,Codeforces Round (Div. 1),BEFORE,7200,1746261300
2100,Codeforces Round (Div. 2),BEFORE,7200,1746261300
2104,Educational Codeforces Round 178 (Rated for Div. 2),BEFORE,7200,1745850900
2097,Codeforces Round (Div. 1),BEFORE,9000,1745656500
2098,Codeforces Round (Div. 2),BEFORE,9000,1745656500
2103,Codeforces Round 1019 (Div. 2),BEFORE,7200,1745246100
2105,Tact Smart Battle 1,BEFORE,604800,1745226000
2096,"Neowise Labs Contest 1 (Codeforces Round 1018, Div. 1 + Div. 2)",BEFORE,7200,1745073300
2094,Codeforces Round 1017 (Div. 4),FINISHED,8100,1744558500
2093,Codeforces Round 1016 (Div. 3),FINISHED,8100,1744122900
2087,Kotlin Heroes: Episode 12,FINISHED,9000,1744036500
2084,"Teza Round 1 (Codeforces Round 1015, Div. 1 + Div. 2)",FINISHED,10800,1743863700
2086,Educational Codeforces Round 177 (Rated for Div. 2),FINISHED,7200,1743690900
2095,April Fools Day Contest 2025,FINISHED,7200,1743518100
2088,Kotlin Heroes: Practice 12,FINISHED,604800,1743428100
2092,Codeforces Round 1014 (Div. 2),FINISHED,7200,1743258900
2091,Codeforces Round 1013 (Div. 3),FINISHED,8100,1742913300
2089,Codeforces Round 1012 (Div. 1),FINISHED,9000,1742708100
2090,Codeforces Round 1012 (Div. 2),FINISHED,9000,1742708100
2085,Codeforces Round 1011 (Div. 2),FINISHED,7200,1742654100
2075,Educational Codeforces Round 176 (Rated for Div. 2),FINISHED,7200,1742222100
2081,"Codeforces Round 1010 (Div. 1, Unrated)",FINISHED,10800,1742049300
2082,"Codeforces Round 1010 (Div. 2, Unrated)",FINISHED,10800,1742049300
2074,Codeforces Round 1009 (Div. 3),FINISHED,9000,1741703700
2077,Codeforces Round 1008 (Div. 1),FINISHED,9000,1741617900
2078,Codeforces Round 1008 (Div. 2),FINISHED,9000,1741617900
2080,"XIX Open Olympiad in Informatics - Final Stage, Day 2 (Unrated, Online Mirror, IOI rules)",FINISHED,18000,1741593900
2079,"XIX Open Olympiad in Informatics - Final Stage, Day 1 (Unrated, Online Mirror, IOI rules)",FINISHED,18000,1741334700
2068,"European Championship 2025 - Online Mirror (Unrated, ICPC Rules, Teams Preferred)",FINISHED,18000,1740911700
2073,"2025 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",FINISHED,18000,1740794700
2071,Codeforces Round 1007 (Div. 2),FINISHED,8100,1740753300
2070,Educational Codeforces Round 175 (Rated for Div. 2),FINISHED,7200,1740666900
2072,Codeforces Round 1006 (Div. 3),FINISHED,8100,1740494100
2069,Educational Codeforces Round 174 (Rated for Div. 2),FINISHED,7200,1739889300
2064,Codeforces Round 1005 (Div. 2),FINISHED,7200,1739716500
2066,Codeforces Round 1004 (Div. 1),FINISHED,7200,1739284500
2067,Codeforces Round 1004 (Div. 2),FINISHED,7200,1739284500
2065,Codeforces Round 1003 (Div. 4),FINISHED,8100,1739111700
2059,Codeforces Round 1002 (Div. 2),FINISHED,7200,1738506900
2062,"Ethflow Round 1 (Codeforces Round 1001, Div. 1 + Div. 2)",FINISHED,9000,1737902100
2063,Codeforces Round 1000 (Div. 2),FINISHED,7200,1737547500
2061,"IAEPC Preliminary Contest (Codeforces Round 999, Div. 1 + Div. 2)",FINISHED,10800,1737383700
2060,Codeforces Round 998 (Div. 3),FINISHED,9000,1737297300
2056,Codeforces Round 997 (Div. 2),FINISHED,7200,1737124500
2055,Codeforces Round 996 (Div. 2),FINISHED,7200,1736692500
2057,Hello 2025,FINISHED,9000,1736001300
2053,Good Bye 2024: 2025 is NEAR,FINISHED,10800,1735396500
2043,Educational Codeforces Round 173 (Rated for Div. 2),FINISHED,7200,1735050900
2054,MaraTON Challenge 1,FINISHED,1814400,1734960900
2051,Codeforces Round 995 (Div. 3),FINISHED,8100,1734878100
2049,Codeforces Round 994 (Div. 2),FINISHED,7200,1734705300
2048,Codeforces Global Round 28,FINISHED,10800,1734618900
2044,Codeforces Round 993 (Div. 4),FINISHED,8100,1734273300
2052,"2024-2025 ICPC, NERC, Northern Eurasia Finals (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",FINISHED,18000,1734248100
2040,Codeforces Round 992 (Div. 2),FINISHED,7200,1733668500
2050,Codeforces Round 991 (Div. 3),FINISHED,8100,1733409300
2046,Codeforces Round 990 (Div. 1),FINISHED,7200,1733207100
2047,Codeforces Round 990 (Div. 2),FINISHED,7200,1733207100
2042,Educational Codeforces Round 172 (Rated for Div. 2),FINISHED,7200,1733150100
2045,"2024-2025 ICPC Asia Jakarta Regional Contest (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",FINISHED,18000,1733029500
